id;nom;id depto
775;Rionegro;27
776;Riosucio;7
777;Riosucio;12
778;Risaralda;7
779;Rivera;17
780;Roberto Payan;21
781;Roldanillo;30
782;Roncesvalles;29
783;Rondón;6
784;Rosas;10
785;Rovira;29
786;Sabana De Torres;27
787;Sabanagrande;4
788;Sabanalarga;2
789;Sabanalarga;4
790;Sabanalarga;9
791;Sabanas De San Angel;19
792;Sabaneta;2
793;Saboyá;6
794;Sácama;9
795;Sáchica;6
796;Sahagún;13
797;Saladoblanco;17
798;Salamina;7
799;Salamina;19
800;Salazar;22
801;Saldaña;29
802;Salento;24
803;Salgar;2
804;Samacá;6
805;Samaná;7
806;Samaniego;21
807;Sampués;28
808;San Agustín;17
809;San Alberto;11
810;San Andres;26
811;San Andrés;2
812;San Andrés;27
813;San Andrés Sotavento;13
814;San Antero;13
815;San Antonio;29
816;San Antonio De Tequendama;14
817;San Benito;27
818;San Benito Abad;28
819;San Bernardo;14
820;San Bernardo;21
821;San Bernardo Del Viento;13
822;San Calixto;22
823;San Carlos;2
824;San Carlos;13
825;San Carlos Guaroa;20
826;San Cayetano;14
827;San Cayetano;22
828;San Cristobal;5
829;San Diego;11
830;San Eduardo;6
831;San Estanislao;5
832;San Felipe;15
833;San Fernando;5
834;San Francisco;2
835;San Francisco;14
836;San Francisco;23
837;San Gil;27
838;San Jacinto;5
839;San Jacinto Del Cauca;5
840;San Jerónimo;2
841;San Joaquín;27
842;San José;7
843;San José De La Montaña;2
844;San José De Miranda;27
845;San José De Pare;6
846;San Jose Del Fragua;8
847;San José Del Guaviare;16
848;San José Del Palmar;12
849;San Juan Betulia;28
850;San Juan De Arama;20
851;San Juan De Río Seco;14
852;San Juan De Uraba;2
853;San Juan Del Cesar;18
854;San Juan Nepomuceno;5
855;San Juanito;20
856;San Lorenzo;21
857;San Luis;2
858;San Luis;29
859;San Luis De Cubarral;20
860;San Luis De Gaceno;6
861;San Luis De Palenque;9
862;San Marcos;28
863;San Martín;11
864;San Martín;20
865;San Martin De Loba;5
866;San Mateo;6
867;San Miguel;23
868;San Miguel;27
869;San Miguel De Sema;6
870;San Onofre;28
871;San Pablo;5
872;San Pablo;21
873;San Pablo Borbur;6
874;San Pedro;2
875;San Pedro;28
876;San Pedro;30
877;San Pedro De Cartago;21
878;San Pedro De Uraba;2
879;San Pelayo;13
880;San Rafael;2
881;San Roque;2
882;San Rosa Viterbo;6
883;San Sebastian;10
884;San Sebastian De Buenavista;19
885;San Vicente;2
886;San Vicente De Chucurí;27
887;San Vicente Del Caguán;8
888;San Zenon;19
889;Sandoná;21
890;Santa Ana;19
891;Santa Barbara;2
892;Santa Barbara;21
893;Santa Bárbara;27
894;Santa Barbara De Pinto;19
895;Santa Catalina;5
896;Santa Cruz;21
897;Santa Helena Del Opón;27
898;Santa Isabel;29
899;Santa Lucia;4
900;Santa María;6
901;Santa María;17
902;Santa Marta;19
903;Santa Rosa;10
904;Santa Rosa De Cabal;25
905;Santa Rosa De Lima;5
906;Santa Rosa De Osos;2
907;Santa Rosa Del Sur;5
908;Santa Rosalía;32
909;Santa Sofía;6
910;Santafé De Antioquia;2
911;Santana;6
912;Santander De Quilichao;10
913;Santiago;22
914;Santiago;23
915;Santiago De Tolú;28
916;Santo Domingo;2
917;Santo Tomas;4
918;Santuario;2
919;Santuario;25
920;Sapuyes;21
921;Saravena;3
922;Sardinata;22
923;Sasaima;14
924;Sativanorte;6
925;Sativasur;6
926;Segovia;2
927;Sesquilé;14
928;Sevilla;30
929;Siachoque;6
930;Sibaté;14
931;Sibundoy;23
932;Silos;22
933;Silvania;14
934;Silvia;10
935;Simacota;27
936;Simijaca;14
937;Simití;5
938;Sincé;28
939;Sincelejo;28
940;Sipí;12
941;Sitionuevo;19
942;Soacha;14
943;Soatá;6
944;Socha;6
945;Socorro;27
946;Socotá;6
947;Sogamoso;6
948;Solano;8
949;Soledad;4
950;Solita;8
951;Somondoco;6
952;Sonson;2
953;Sopetran;2
954;Soplaviento;5
955;Sopó;14
956;Sora;6
957;Soracá;6
958;Sotaquirá;6
959;Sotara;10
960;Suaita;27
961;Suan;4
962;Suarez;10
963;Suárez;29
964;Suaza;17
965;Subachoque;14
966;Sucre;10
967;Sucre;27
968;Sucre;28
969;Suesca;14
970;Supatá;14
971;Supía;7
972;Surata;27
973;Susa;14
974;Susacón;6
975;Sutamarchán;6
976;Sutatausa;14
977;Sutatenza;6
978;Tabio;14
979;Tadó;12
980;Talaigua Nuevo;5
981;Tamalameque;11
982;Támara;9
983;Tame;3
984;Támesis;2
985;Taminango;21
986;Tangua;21
987;Taraira;31
988;Tarapacá;1
989;Tarazá;2
990;Tarqui;17
991;Tarso;2
992;Tasco;6
993;Tauramena;9
994;Tausa;14
995;Tello;17
996;Tena;14
997;Tenerife;19
998;Tenjo;14
999;Tenza;6
1000;Teorama;22
1001;Teruel;17
1002;Tesalia;17
1003;Tibacuy;14
1004;Tibaná;6
1005;Tibasosa;6
1006;Tibirita;14
1007;Tibú;22
1008;Tierralta;13
1009;Timaná;17
1010;Timbio;10
1011;Timbiqui;10
1012;Tinjacá;6
1013;Tipacoque;6
1014;Tiquisio;5
1015;Titiribí;2
1016;Toca;6
1017;Tocaima;14
1018;Tocancipá;14
1019;Togüí;6
1020;Toledo;2
1021;Toledo;22
1022;Tolú Viejo;28
1023;Tona;27
1024;Tópaga;6
1025;Topaipi;14
1026;Toribio;10
1027;Toro;30
1028;Tota;6
1029;Totoro;10
1030;Trinidad;9
1031;Trujillo;30
1032;Tubara;4
1033;Tuluá;30
1034;Tumaco;21
1035;Tunja;6
1036;Tununguá;6
1037;Tuquerres;21
1038;Turbaco;5
1039;Turbana;5
1040;Turbo;2
1041;Turmequé;6
1042;Tuta;6
1043;Tutazá;6
1044;Ubalá;14
1045;Ubaque;14
1046;Ubate;14
1047;Ulloa;30
1048;Umbita;6
1049;Une;14
1050;Unguía;12
1051;Union Panamericana;12
1052;Uramita;2
1053;Uribia;18
1054;Urrao;2
1055;Urumita;18
1056;Usiacuri;4
1057;Útica;14
1058;Valdivia;2
1059;Valencia;13
1060;Valle De San José;27
1061;Valle De San Juan;29
1062;Valle Del Guamuez;23
1063;Valledupar;11
1064;Valparaiso;2
1065;Valparaiso;8
1066;Vegachí;2
1067;Vélez;27
1068;Venadillo;29
1069;Venecia;2
1070;Venecia;14
1071;Ventaquemada;6
1072;Vergara;14
1073;Versalles;30
1074;Vetas;27
1075;Vianí;14
1076;Victoria;7
1077;Vigía Del Fuerte;2
1078;Vijes;30
1079;Villa Caro;22
1080;Villa De Leyva;6
1081;Villa Del Rosario;22
1082;Villa Garzon;23
1083;Villa Rica;10
1084;Villagomez;14
1085;Villahermosa;29
1086;Villamaria;7
1087;Villanueva;5
1088;Villanueva;9
1089;Villanueva;18
1090;Villanueva;27
1091;Villapinzón;14
1092;Villarrica;29
1093;Villavicencio;20
